"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Fixtcon+Engineering+Pvt+Ltd+-+Autonics+Sensor%2F+Airtac+Cylinder%2F+CKD+Valve%2F+Delta+PLC+%26+VFD+Dealer+in+Pune/data=!4m7!3m6!1s0x3bc2c202c3895555:0xbcc0bfb4e53b61b0!8m2!3d18.5012319!4d73.9379339!16s%2Fg%2F11h_wxyqbd!19sChIJVVWJwwLCwjsRsGE75bS_wLw?authuser=0&hl=en&rclk=1","Fixtcon Engineering Pvt Ltd - Autonics Sensor/ Airtac Cylinder/ CKD Valve/ Delta PLC & VFD Dealer in Pune","5.0","(2)","Corporate office","·","CTS 226A, PEARL TOWER, FL No A 501, 2/2","Closed","· Opens 9 am Tue","","","http://fixtconengg.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""very good service and support"""
"https://www.google.com/maps/place/Dispotronics/data=!4m7!3m6!1s0x3bc2c012b81e93ef:0xce459b049f32831d!8m2!3d18.5020541!4d73.8500899!16s%2Fg%2F1tn047bg!19sChIJ75MeuBLAwjsRHYMynwSbRc4?authuser=0&hl=en&rclk=1","Dispotronics","5.0","(2)","Manufacturer","·","1st Floor Snehnagar, Meghdoot Building, near Neelayam Theatre","Closed","· Opens 9 am Tue","·","098225 72159","https://www.dispotronics.com/","","Website","","Directions","",""
"https://www.google.com/maps/place/Electronics+Systems+%26+Devices/data=!4m7!3m6!1s0x3bc2c1e555555555:0x9bc67c826243a81c!8m2!3d18.5118653!4d73.9151868!16s%2Fg%2F1td5pqt7!19sChIJVVVVVeXBwjsRHKhDYoJ8xps?authuser=0&hl=en&rclk=1","Electronics Systems & Devices","4.3","(68)","Electronics Company","·","ESD HOUSE, 55 Hadapsar Industrial Estate,","Closed","· Opens 8:30 am Tue","·","089566 01980","https://www.esd-india.com/","","Website","","Directions","",""
"https://www.google.com/maps/place/Spectrum+Sales+Corporation/data=!4m7!3m6!1s0x3bc2c06fde63f01d:0x280e4cdb17d08baf!8m2!3d18.5165239!4d73.8542756!16s%2Fg%2F1vm_wbgd!19sChIJHfBj3m_AwjsRr4vQF9tMDig?authuser=0&hl=en&rclk=1","Spectrum Sales Corporation","4.2","(11)","Electronic parts supplier","·","27-B, Siddharth Chambers Office No.7, 2nd Floor, Appa Balwant Chowk","Closed","· Opens 10 am Tue","·","089755 02467","http://www.spectrumsc.com/","","Website","","Directions","",""
"https://www.google.com/maps/place/OjasviT+Techno+Private+Limited/data=!4m7!3m6!1s0x3bc2bf31208ddaef:0xc2ecd2b0380e2968!8m2!3d18.5190042!4d73.8377179!16s%2Fg%2F11v3rdlw_c!19sChIJ79qNIDG_wjsRaCkOOLDS7MI?authuser=0&hl=en&rclk=1","OjasviT Techno Private Limited","5.0","(20)","Home automation company","·","2nd floor, oppo.kotak bank, Suryaphul App, Lane No. 7","Closed","· Opens 10 am Tue","·","081303 90418","https://ojasvit.in/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Really innovative technology and nice service"""
"https://www.google.com/maps/place/Drihten+Technology+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2b9f89e8d548f:0xc5a7d5f12e6c4969!8m2!3d18.5919749!4d73.800109!16s%2Fg%2F11fktmrrws!19sChIJj1SNnvi5wjsRaUlsLvHVp8U?authuser=0&hl=en&rclk=1","Drihten Technology Pvt. Ltd.","4.9","(12)","Manufacturer","·","5th Floor, Vision Flora Mall, Unit No. 507 to 514, Kunal Icon Rd, opp. PCMC ground, beside Siddhivinayak Ginger Society","Closed","· Opens 9 am Tue","·","073787 11885","https://drihtentechnology.in/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Define the peoblem, they find the right solution."""
"https://www.google.com/maps/place/Sunpro+Instruments+India+Pvt+Ltd/data=!4m7!3m6!1s0x3bc2c009f0b399f3:0x1b6586b7da2c0a55!8m2!3d18.499585!4d73.8429839!16s%2Fg%2F1xpwh6xv!19sChIJ85mz8AnAwjsRVQos2reGZRs?authuser=0&hl=en&rclk=1","Sunpro Instruments India Pvt Ltd","3.4","(5)","Electronics Company","·","B, Plot No. 585, Sinhagad Road`","Closed","· Opens 9 am Tue","·","020 2432 1242","http://www.sunproinst.com/","","Website","","Directions","",""
"https://www.google.com/maps/place/Micro-Epsilon+India+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2c146cce842c3:0xab18863f8437925c!8m2!3d18.5632279!4d73.9206428!16s%2Fg%2F11bvtkhmt4!19sChIJw0LozEbBwjsRXJI3hD-GGKs?authuser=0&hl=en&rclk=1","Micro-Epsilon India Pvt. Ltd.","3.8","(10)","Electronics Company","·","Office No. 101 A, Delta-1, GIGA SPACE IT PARK","Closed","· Opens 9:30 am Tue","·","020 2674 1009","http://www.micro-epsilon.in/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good Quality inspection"""
"https://www.google.com/maps/place/Tronsoft+Technologies/data=!4m7!3m6!1s0x3bc2c118165a49ff:0x5385f572cdee125c!8m2!3d18.5101979!4d73.8346694!16s%2Fg%2F11fs4ym1jf!19sChIJ_0laFhjBwjsRXBLuzXL1hVM?authuser=0&hl=en&rclk=1","Tronsoft Technologies","5.0","(22)","Automation company","·","Office #14, 1st floor, Ganesh chambers, 17/3, Karve Rd, near Sonal hall","Closed","· Opens 9:30 am Tue","·","075593 49467","http://www.tronsoft.co.in/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They have the right expertise in IOT and its"
"https://www.google.com/maps/place/NUCLUS+CONTROL/data=!4m7!3m6!1s0x3bc2c11968e5b549:0x6c7d2f1763b7a8ca!8m2!3d18.5493322!4d73.9313684!16s%2Fg%2F11cmh7h63t!19sChIJSbXlaBnBwjsRyqi3YxcvfWw?authuser=0&hl=en&rclk=1","NUCLUS CONTROL","5.0","(2)","Manufacturer","·","First Floor, Survey No. 27/4, Shubh Ganesh Industrial Estate","Closed","· Opens 10 am Tue","·","094225 20386","http://www.nucluscontrol.com/","","Website","","Directions","",""
