company_name,business_type,address,phone_number,website,rating,review_count,review_snippet,opening_time,google_maps_link,review_count_num
Sapphier Automation & Instruments,Automation company,"Rajdhani Industrial CO-OP SOCIETY LTD, D-02, EL-31/13",099234 79808,http://sapphierautomation.com/,4.8,(43),"""Best service provider for all industrial automation solution.""",· Opens 10 am Tue,https://www.google.com/maps/place/Sapphier+Automation+%26+Instruments/data=!4m7!3m6!1s0x3bc2b91a3515a3a1:0x83d8cb638d2ce838!8m2!3d18.6402135!4d73.8337294!16s%2Fg%2F11gmj8290b!19sChIJoaMVNRq5wjsROOgsjWPL2IM?authuser=0&hl=en&rclk=1,43.0
UNI-TECH Automation Pvt. Ltd.,Manufacturer,"79, Survey No. Plot No.7, 2, near Ramelex Industries Limited",083900 39700,https://www.uni-techautomation.com/,4.5,(41),"""Very good company""",· Opens 9:30 am Tue,https://www.google.com/maps/place/UNI-TECH+Automation+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2959ea98d96e3:0x7db632514e2916a3!8m2!3d18.468463!4d73.792137!16s%2Fg%2F1tcvxwb0!19sChIJ45aNqZ6VwjsRoxYpTlEytn0?authuser=0&hl=en&rclk=1,41.0
AUTOMATORS INDUSTRIAL PROJECTS PVT LTD | PLC SCADA in Pune,Automation company,"Office 701 , 7TH FLOOR ANP Landmark, Bhumkar, Wakad Road",074200 04130,https://aippal.com/,4.9,(40),On-site services,· Opens 9 am Tue,https://www.google.com/maps/place/AUTOMATORS+INDUSTRIAL+PROJECTS+PVT+LTD+%7C+PLC+SCADA+in+Pune/data=!4m7!3m6!1s0x3bc2bba5748ef877:0x97c2dbe12cf63f37!8m2!3d18.6013655!4d73.7473505!16s%2Fg%2F11y9z51b26!19sChIJd_iOdKW7wjsRNz_2LOHbwpc?authuser=0&hl=en&rclk=1,40.0
HIRA AUTOMATION PVT. LTD.,Manufacturer,"Sr. No. 60/1, Hira Building, Jambhulwadi Rd, opp. VIVA SAROVAR",090110 22527,https://hiraautomation.com/,4.9,(40),"""Well done, best wishes""",· Opens 9 am Tue,https://www.google.com/maps/place/HIRA+AUTOMATION+PVT.+LTD./data=!4m7!3m6!1s0x3bc2eb2bafaf5481:0x48ca785cf18bb443!8m2!3d18.4332567!4d73.8454259!16s%2Fg%2F11cnd553q_!19sChIJgVSvryvrwjsRQ7SL8Vx4ykg?authuser=0&hl=en&rclk=1,40.0
Accuweigh Automation & Solutions Pvt. Ltd.,Automation company,·,077218 72872,http://www.accuweigh.org/,3.9,(39),On-site services,· Opens 9:30 am Tue,https://www.google.com/maps/place/Accuweigh+Automation+%26+Solutions+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc29526d747a487:0x70eada3562e8f20b!8m2!3d18.4378009!4d73.8255488!16s%2Fg%2F11clzhcjgj!19sChIJh6RH1yaVwjsRC_LoYjXa6nA?authuser=0&hl=en&rclk=1,39.0
Varad Automation And Robotics PVT LTD,Automation company,Plot No.169,086699 62225,https://www.varadautomation.com/,4.8,(37),"""Very helpful tool for quality oriented",· Opens 9 am Tue,https://www.google.com/maps/place/Varad+Automation+And+Robotics+PVT+LTD/data=!4m7!3m6!1s0x3bc2b80d2e9b697f:0x5c8235e118028017!8m2!3d18.6417893!4d73.8365595!16s%2Fg%2F11byz399l5!19sChIJf2mbLg24wjsRF4ACGOE1glw?authuser=0&hl=en&rclk=1,37.0
PMP Automation Pvt. Ltd.,Automation company,"S.No.-50/10/12, Near Abhiruchi Industrial Estate, shashwat nagar, Post - Narhe, Tal. Haveli",020 2439 1385,http://www.pmpapl.com/,3.9,(37),"""Nice experience.""",· Opens 9:30 am Tue,https://www.google.com/maps/place/PMP+Automation+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2956bc58bc1db:0x6f4719083fd0dd5c!8m2!3d18.4589822!4d73.8164265!16s%2Fg%2F11cn17rfr8!19sChIJ28GLxWuVwjsRXN3QPwgZR28?authuser=0&hl=en&rclk=1,37.0
MS-PRG Automation Pvt.Ltd.,Manufacturer,·,089566 48782,https://www.prgautomation.com/index.html,4.9,(34),"""Excellent service provider in Pune for all",· Opens 9 am Tue,https://www.google.com/maps/place/MS-PRG+Automation+Pvt.Ltd./data=!4m7!3m6!1s0x3bc2c99138c02653:0x97b5d2057c0fe98a!8m2!3d18.6688714!4d73.9558971!16s%2Fg%2F11h42phs76!19sChIJUybAOJHJwjsRiukPfAXStZc?authuser=0&hl=en&rclk=1,34.0
Accurate Automation - Automation company in Pune,Automation company,"Sr. No. 232, Utsav Homes-Bhosari, B-103, 3/A",097675 74787,https://www.accurateautomationpune.com/,4.4,(33),"""... are one of the best labview",· Opens 9 am Tue,https://www.google.com/maps/place/Accurate+Automation+-+Automation+company+in+Pune/data=!4m7!3m6!1s0x3bc2b9c745555555:0xf8dc22dbb379e7ab!8m2!3d18.6186122!4d73.8394534!16s%2Fg%2F1v9gsxhr!19sChIJVVVVRce5wjsRq-d5s9si3Pg?authuser=0&hl=en&rclk=1,33.0
Secure Automation,Home automation company,"102, Amrutsiddhi, Laxmi Park Colony, near Bhide Hospital",084118 04888,http://www.secure-automation.in/,5.0,(32),On-site services,· Opens 10 am Tue,https://www.google.com/maps/place/Secure+Automation/data=!4m7!3m6!1s0x3bc2bf4903da06a1:0xfdad9f850541f01b!8m2!3d18.5045154!4d73.8443149!16s%2Fg%2F11j7ylfwmn!19sChIJoQbaA0m_wjsRG_BBBYWfrf0?authuser=0&hl=en&rclk=1,32.0
Klug Avalon Mechatronics Pvt. Ltd.,Manufacturer,·,090499 92136,https://klugavalon.com/,4.3,(31),"""One of the best in its class.""",· Opens 9 am Tue,https://www.google.com/maps/place/Klug+Avalon+Mechatronics+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2c1e555555555:0x425e8438ee889cba!8m2!3d18.4936343!4d73.9181152!16s%2Fg%2F1tfjz9jd!19sChIJVVVVVeXBwjsRupyI7jiEXkI?authuser=0&hl=en&rclk=1,31.0
INTACT Automation Private Limited,Manufacturer,"Shiv Shankar House, S. No.43 Near Xrbia, Hinjewadi Somatane Road, Mulshi, Nere",020 6744 1111,http://www.intactautomation.com/,4.2,(29),"""Good experience""",,https://www.google.com/maps/place/INTACT+Automation+Private+Limited/data=!4m7!3m6!1s0x3bc2b8bd4e596a8b:0x643dc57a745c9de7!8m2!3d18.6147621!4d73.6951621!16s%2Fg%2F11c5s78q60!19sChIJi2pZTr24wjsR551cdHrFPWQ?authuser=0&hl=en&rclk=1,29.0
Microverse Automation Pvt. Ltd.,Automation company,·,077559 67670,https://www.microversedcs.com/,4.1,(28),On-site services,· Opens 9:30 am Tue,https://www.google.com/maps/place/Microverse+Automation+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc29578054b2233:0xac3aab98d6d83a42!8m2!3d18.4683758!4d73.7922877!16s%2Fg%2F11clsn8zwt!19sChIJMyJLBXiVwjsRQjrY1pirOqw?authuser=0&hl=en&rclk=1,28.0
Ridhisidhi Techno Solution Pvt. Ltd.,Manufacturer,"Rico 43/2, Karve Road, OppS.N.D.T College, Near Konark, Udyog, SBI Ln",080 4605 7777,http://www.ricocontrol.net/,3.2,(28),,· Opens 8:30 am Tue,https://www.google.com/maps/place/Ridhisidhi+Techno+Solution+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2bf92c5a56e7f:0xbc8791223e6af432!8m2!3d18.5051607!4d73.8281599!16s%2Fg%2F1pp2x574c!19sChIJf26lxZK_wjsRMvRqPiKRh7w?authuser=0&hl=en&rclk=1,28.0
"Thermo Instruments-Temperature controller and indicator manufacturer, R/S type thermocouple repair Pune, PCMC, Chakan,India",Manufacturer,"Gate no 454, adarsh nagar, morya colony no 1, near kajale petrol pump",093261 61617,http://www.thermoinstruments.co.in/,5.0,(27),"""Affordable and high-precision",· Opens 9 am Tue,"https://www.google.com/maps/place/Thermo+Instruments-Temperature+controller+and+indicator+manufacturer,+R%2FS+type+thermocouple+repair+Pune,+PCMC,+Chakan,India/data=!4m7!3m6!1s0x3bc2c76243156995:0xc9184d60a5b92ca4!8m2!3d18.6575662!4d73.8496116!16s%2Fg%2F11q_2b56_h!19sChIJlWkVQ2LHwjsRpCy5pWBNGMk?authuser=0&hl=en&rclk=1",27.0
Autobot Systems And Automation-Robot Torch Cleaning Station/Automatic Torch Cleaning Station Manufacturer in India,Automation company,"Gat no 117, Talawade Rd, opposite Pandurang Hotel",084463 64335,http://www.autobotsystems.com/,4.7,(26),"""Great team and good technical capabilities.""",· Opens 9:30 am Tue,https://www.google.com/maps/place/Autobot+Systems+And+Automation-Robot+Torch+Cleaning+Station%2FAutomatic+Torch+Cleaning+Station+Manufacturer+in+India/data=!4m7!3m6!1s0x3bc2b835288df34b:0x84a2fec4e604e9f4!8m2!3d18.6811044!4d73.7910443!16s%2Fg%2F11b77vbws8!19sChIJS_ONKDW4wjsR9OkE5sT-ooQ?authuser=0&hl=en&rclk=1,26.0
QUARK AUTOMATION PVT LTD,Automation company,"haveli, Gat no 1567, shelar vasti, chikhali, tal, dist",083202 78844,http://www.quarkautomation.com/,4.6,(26),"""Good",· Opens 9 am Tue,https://www.google.com/maps/place/QUARK+AUTOMATION+PVT+LTD/data=!4m7!3m6!1s0x3bc2c74b187aef49:0xf9cf19fec9427b02!8m2!3d18.6653725!4d73.8440596!16s%2Fg%2F11r4gwn_p0!19sChIJSe96GEvHwjsRAntCyf4Zz_k?authuser=0&hl=en&rclk=1,26.0
Jaycee Technologies Pvt Ltd,Manufacturer,"Shed No. 7, Nanekar Industry Building Survey No. 79/2 Dangat Industrial Estate",085549 82251,https://jayceetech.com/,4.5,(26),In-store shopping,· Opens 9:30 am Tue,https://www.google.com/maps/place/Jaycee+Technologies+Pvt+Ltd/data=!4m7!3m6!1s0x3bc295d534e5debd:0x34d88dce70452bcf!8m2!3d18.4689148!4d73.7938373!16s%2Fg%2F1tcv4s2z!19sChIJvd7lNNWVwjsRzytFcM6N2DQ?authuser=0&hl=en&rclk=1,26.0
Turck India Automation private limited.,Automation company,"Level 4, Link road, Baner - Balewadi Rd, near Cummins Complex",077689 33005,http://www.turck.in/,4.5,(26),,· Opens 9:30 am Tue,https://www.google.com/maps/place/Turck+India+Automation+private+limited./data=!4m7!3m6!1s0x3bc2bf6f8e39cde9:0x9ad898c06d7b9208!8m2!3d18.5680167!4d73.7751349!16s%2Fg%2F11b7hmzr3w!19sChIJ6c05jm-_wjsRCJJ7bcCY2Jo?authuser=0&hl=en&rclk=1,26.0
Banner Engineering India Pvt. Ltd.,Manufacturer,"1002, 10th Floor, 801, Senapati Bapat Rd",093721 51898,https://www.bannerengineering.com/in/en.html,4.3,(26),,· Opens 9:30 am Tue,https://www.google.com/maps/place/Banner+Engineering+India+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2bf777f767ef5:0x5fe984e71b6a6d6b!8m2!3d18.5319088!4d73.8303727!16s%2Fg%2F1vc6bv9n!19sChIJ9X52f3e_wjsRa21qG-eE6V8?authuser=0&hl=en&rclk=1,26.0
TAS India Pvt. Ltd.-SEZ Office,Automation company,·,083280 03778,http://www.tasind.com/,4.3,(26),,· Opens 9:30 am Tue,https://www.google.com/maps/place/TAS+India+Pvt.+Ltd.-SEZ+Office/data=!4m7!3m6!1s0x3bc2c1f1b434ef23:0x18607bd1dd3b533!8m2!3d18.4916706!4d73.9525379!16s%2Fg%2F11ghsfcynf!19sChIJI-80tPHBwjsRM7XTHb0HhgE?authuser=0&hl=en&rclk=1,26.0
PRAVIN ELECTRONICS & ELECTRICALS,Industrial Spares & Products Wholesaler,"311,NANA PETH,101/102 NATH MURLI BUILDING LAXMI ROAD,GHODEPIR LANE,ARUNA CHOUK",096577 25391,https://pravininstruments.com/,4.1,(26),"""Products quality is good and also multiple brands are available.""",· Opens 11 am Tue,https://www.google.com/maps/place/PRAVIN+ELECTRONICS+%26+ELECTRICALS/data=!4m7!3m6!1s0x3bc2c04277cdf53d:0x32299c7d10f76391!8m2!3d18.5152798!4d73.8654738!16s%2Fg%2F11b782vzp4!19sChIJPfXNd0LAwjsRkWP3EH2cKTI?authuser=0&hl=en&rclk=1,26.0
AlfaOne Technologies Pvt. Ltd.,Home automation company,"44, Electronic Co-Op. Estate, Satara Road, opposite Utsav Hotel",,https://www.google.com/aclk?sa=L&ai=DChsSEwiw3Ofg0LGUAxXP_0wCHfRvF6AYACICCAEQARoCdG0&co=1&ase=2&gclid=Cj0KCQjw_IXQBhCkARIsADqELbLv7MaX9mlIWItWq50Pp1tC2t5wTbkMOPAuk5FhP5Fu0lbuoS9BYDkaAp2LEALw_wcB&cid=CAAS0wHkaPo0_gPXdysjV3gvHgnAw-Bsjx-wgN3M88TNvQmBqzi8UemXXqV2yk4RGhf2QgxXEGvLFkLq_OjoDqWvuFzH9R6IY2K9KVc1j8thxt4KGb1rXzYcaFi8OgRXRVQpQS8GAmA6dAH_FXf7jXdRwj7QjvOqKGGKOvzIkWm-5ItUU-f__A5fNyUFJGJZvG4p-znR3VWmy8nx8nrubS8Suqu7aJIB-FbeboJcWOVXNbrhlCKbbKEuEhvWmAanpBgJGmOp4I5aLv4dcUqYFGYycZz2FeJ5&cce=2&category=acrcp_v1_32&sig=AOD64_2u5T5cDRLEtEIQ3bt469K1m1HKCA&adurl&q&ctype=99&nis=6,4.5,(25),,· Opens 10 am Tue,https://www.google.com/maps/place/AlfaOne+Technologies+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2eabbc4ec30cd:0x4e3d43a26b6def7d!8m2!3d18.4901334!4d73.8571809!16s%2Fg%2F11c4b6rhjg!19sChIJzTDsxLvqwjsRfe9ta6JDPU4?authuser=0&hl=en&rclk=1,25.0
Rajdeep Automation,Automation company,"143, Sinhagad Road Dhayri, Sinhagad Road Vadgaon Dhayari",020 2439 3755,http://www.rajdeep.in/,4.0,(25),,· Opens 9:15 am Tue,https://www.google.com/maps/place/Rajdeep+Automation/data=!4m7!3m6!1s0x3bc29572a806617b:0x652a8a79078c3ff0!8m2!3d18.4576094!4d73.8066848!16s%2Fg%2F1tfpy92d!19sChIJe2EGqHKVwjsR8D-MB3mKKmU?authuser=0&hl=en&rclk=1,25.0
"RV Automation - Robot, Manipulator, Integrator, robotic automation system provider in Pune",Automation company,BHAIRAV INDUSTRIAL ESTATE SR NO 25/11,070200 99776,http://www.robotautomation.in/,5.0,(24),On-site services,· Opens 8:30 am Tue,"https://www.google.com/maps/place/RV+Automation+-+Robot,+Manipulator,+Integrator,+robotic+automation+system+provider+in+Pune/data=!4m7!3m6!1s0x3bc29546de84ef8b:0x240c24377785f77c!8m2!3d18.4408396!4d73.8237729!16s%2Fg%2F11f730hxqj!19sChIJi--E3kaVwjsRfPeFdzckDCQ?authuser=0&hl=en&rclk=1",24.0
"IPCS Automation Projects , VFD Supplier and Dealer, PLC Dealer, Supplier and Programmer",Automation company,"Office No.224, 2nd Floor, behind Kundan Hyundai Thermax Chowk",090488 46664,https://ipcs.com.co/,4.8,(24),"""Best service providers for all",,"https://www.google.com/maps/place/IPCS+Automation+Projects+,+VFD+Supplier+and+Dealer,+PLC+Dealer,+Supplier+and+Programmer/data=!4m7!3m6!1s0x3bc2b7513e0b8253:0xc32072055a4be279!8m2!3d18.6625241!4d73.7925077!16s%2Fg%2F11k41x3rpr!19sChIJU4ILPlG3wjsReeJLWgVyIMM?authuser=0&hl=en&rclk=1",24.0
UL SYSTEMS AND CONTROLS INDIA PVT LTD,Automation company,"Swami Vivekand Industrial Estate, Handewadi Rd",,http://www.ulepl.com/,4.6,(24),"""Good service""",· Opens 9:30 am Tue,https://www.google.com/maps/place/UL+SYSTEMS+AND+CONTROLS+INDIA+PVT+LTD/data=!4m7!3m6!1s0x3bc2e9f79e74c6ff:0x84bf261d880af720!8m2!3d18.4781714!4d73.9388271!16s%2Fg%2F11f5dvrgr1!19sChIJ_8Z0nvfpwjsRIPcKiB0mv4Q?authuser=0&hl=en&rclk=1,24.0
Marsh Automation Pvt.Ltd.,Manufacturer,"No. 98A, 25A",095520 21799,https://www.marshautomation.com/enquiry.php,4.9,(23),On-site services,· Opens 10:30 am Tue,https://www.google.com/maps/place/Marsh+Automation+Pvt.Ltd./data=!4m7!3m6!1s0x3bc2c1e555555555:0xe5cb46bd59d64458!8m2!3d18.5068823!4d73.9152488!16s%2Fg%2F1tdjvgp4!19sChIJVVVVVeXBwjsRWETWWb1Gy-U?authuser=0&hl=en&rclk=1,23.0
Tronsoft Technologies,Automation company,"Office #14, 1st floor, Ganesh chambers, 17/3, Karve Rd, near Sonal hall",075593 49467,http://www.tronsoft.co.in/,5.0,(22),"""They have the right expertise in IOT and its",· Opens 9:30 am Tue,https://www.google.com/maps/place/Tronsoft+Technologies/data=!4m7!3m6!1s0x3bc2c118165a49ff:0x5385f572cdee125c!8m2!3d18.5101979!4d73.8346694!16s%2Fg%2F11fs4ym1jf!19sChIJ_0laFhjBwjsRXBLuzXL1hVM?authuser=0&hl=en&rclk=1,22.0
La Quanta Technology Pvt.Ltd.,Manufacturer,·,098208 06133,http://laquantatechnology.com/,5.0,(21),"""Very good company ✅✅✅✅""",· Opens 10 am Tue,https://www.google.com/maps/place/La+Quanta+Technology+Pvt.Ltd./data=!4m7!3m6!1s0x3bc2c18e9a455555:0xa92471f493cf883a!8m2!3d18.5480063!4d73.9362308!16s%2Fg%2F11gcw6dg1c!19sChIJVVVFmo7BwjsROojPk_RxJKk?authuser=0&hl=en&rclk=1,21.0
B&R Industrial Automation Pvt. Ltd.,Automation company,"Tara Heights, Old Mumbai - Pune Hwy",020 4147 8999,http://www.br-automation.com/,4.5,(21),"""Great place to visit for Automation &Robotics""",· Opens 9:30 am Tue,https://www.google.com/maps/place/B%26R+Industrial+Automation+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2953358b5de17:0xf8a4e05b3109e78d!8m2!3d18.543896!4d73.851008!16s%2Fg%2F1v3klj46!19sChIJF961WDOVwjsRjecJMVvgpPg?authuser=0&hl=en&rclk=1,21.0
OjasviT Techno Private Limited,Home automation company,"2nd floor, oppo.kotak bank, Suryaphul App, Lane No. 7",081303 90418,https://ojasvit.in/,5.0,(20),"""Really innovative technology and nice service""",· Opens 10 am Tue,https://www.google.com/maps/place/OjasviT+Techno+Private+Limited/data=!4m7!3m6!1s0x3bc2bf31208ddaef:0xc2ecd2b0380e2968!8m2!3d18.5190042!4d73.8377179!16s%2Fg%2F11v3rdlw_c!19sChIJ79qNIDG_wjsRaCkOOLDS7MI?authuser=0&hl=en&rclk=1,20.0
Perfecto Robotics Private Limited,Automation company,"B8, Shreya Business Hub",097113 67382,http://www.perfectorobotics.com/,4.6,(20),"""Very innovative and creative team.""",· Opens 9 am Tue,https://www.google.com/maps/place/Perfecto+Robotics+Private+Limited/data=!4m7!3m6!1s0x3bc2953c7b962c45:0xd2e338474be4878b!8m2!3d18.4478906!4d73.820876!16s%2Fg%2F11csb15snb!19sChIJRSyWezyVwjsRi4fkS0c449I?authuser=0&hl=en&rclk=1,20.0
"S-TECH AUTOMATION SYSTEMS -Vacuum/Flow Tester,Sealing Connector Manufacturer Pune|India,Leak Tester/Testing Machine In Pune",Automation company,"BLOCK NUMBER J BLOCK, SHOP NO 05 PLOT NO J, PAP-123, 124",098601 50299,https://www.stechautomation.in/,4.4,(20),,· Opens 9:30 am Tue,"https://www.google.com/maps/place/S-TECH+AUTOMATION+SYSTEMS+-Vacuum%2FFlow+Tester,Sealing+Connector+Manufacturer+Pune%7CIndia,Leak+Tester%2FTesting+Machine+In+Pune/data=!4m7!3m6!1s0x3bc2b87d332a691d:0xab1a26bca4690f4!8m2!3d18.6354061!4d73.8281237!16s%2Fg%2F11sjlwzxzn!19sChIJHWkqM324wjsR9JBGymuisQo?authuser=0&hl=en&rclk=1",20.0
Kneo Automation Pvt Ltd- Industrial Automation| Digitization| Industry 4.0 solutions,Manufacturer,"501-505 , Fifth floor Building- Highway Heights",077090 15122,http://kneo.in/,4.0,(20),,· Opens 9:30 am Tue,https://www.google.com/maps/place/Kneo+Automation+Pvt+Ltd-+Industrial+Automation%7C+Digitization%7C+Industry+4.0+solutions/data=!4m7!3m6!1s0x3bc2be316fb02be1:0xc34ecebb1cc3c50c!8m2!3d18.4886816!4d73.7929905!16s%2Fg%2F11c3sr7hjc!19sChIJ4SuwbzG-wjsRDMXDHLvOTsM?authuser=0&hl=en&rclk=1,20.0
"Falcon Automation Technology - PLC Panel, VFD Panel, MCC Panel, APFC Panel, PCC Panel Manufacturer in Pune, India",Automation company,"Gat No. 166, Sahyog Nagar, Tower Line Rd",072762 11433,http://falconautomation.in/,5.0,(18),"""It's right place for",· Opens 9 am Tue,"https://www.google.com/maps/place/Falcon+Automation+Technology+-+PLC+Panel,+VFD+Panel,+MCC+Panel,+APFC+Panel,+PCC+Panel+Manufacturer+in+Pune,+India/data=!4m7!3m6!1s0x3bc295d9f0346539:0x7fd18ce66eba37b2!8m2!3d18.6718392!4d73.7859091!16s%2Fg%2F11rjz4ck28!19sChIJOWU08NmVwjsRsje6buaM0X8?authuser=0&hl=en&rclk=1",18.0
Viak Automation Systems Pvt Ltd,Automation company,·,074061 41414,https://viakindia.com/,5.0,(18),"""Excellent quality work & service….!!!""",· Opens 9 am Tue,https://www.google.com/maps/place/Viak+Automation+Systems+Pvt+Ltd/data=!4m7!3m6!1s0x3bc2b70e6bb4b969:0x80231a39c60bec81!8m2!3d18.6791276!4d73.7899531!16s%2Fg%2F11pz13gf91!19sChIJabm0aw63wjsRgewLxjkaI4A?authuser=0&hl=en&rclk=1,18.0
Kobold Instruments Pvt Ltd,Manufacturer,"Near, 797/5, Renuka Bungalow, Joshi Hospital Lane, Kamala Nehru Park Rd",091689 11227,https://www.kobold.com/?mtm_campaign=Google_My_Business_KB_India,4.7,(18),"""Exceptional quality and service.""",· Opens 9 am Tue,https://www.google.com/maps/place/Kobold+Instruments+Pvt+Ltd/data=!4m7!3m6!1s0x3bc2bf91e3a7d2cb:0x9e9c5d8c8ba4e74c!8m2!3d18.5181692!4d73.8328382!16s%2Fg%2F11c71pfbg0!19sChIJy9Kn45G_wjsRTOeki4xdnJ4?authuser=0&hl=en&rclk=1,18.0
"GABRIL AUTOMATION AND SECURITY- Boom Barriers,Automatic door,sensor door,entrance automation,manufacturers and dealers",Automation company,·,,https://www.gabrilautomation.com/,5.0,(17),On-site services,· Opens 9 am Tue,"https://www.google.com/maps/place/GABRIL+AUTOMATION+AND+SECURITY-+Boom+Barriers,Automatic+door,sensor+door,entrance+automation,manufacturers+and+dealers/data=!4m7!3m6!1s0x6a8d6a7a179288e3:0x1083814ac625a546!8m2!3d18.5732624!4d73.8792573!16s%2Fg%2F11m5jftpr4!19sChIJ44iSF3pqjWoRRqUlxkqBgxA?authuser=0&hl=en&rclk=1",17.0
Swastika Automation Solutions,Automation company,"A10 , Adi Paradise Vijaynagar, near SAI EMERALD",098504 89716,https://swastikaas.in/,5.0,(17),On-site services,· Opens 9 am Tue,https://www.google.com/maps/place/Swastika+Automation+Solutions/data=!4m7!3m6!1s0x3bc2b9abbc000001:0xa84d7b802eba70e1!8m2!3d18.6214234!4d73.7931209!16s%2Fg%2F11m903rpny!19sChIJAQAAvKu5wjsR4XC6LoB7Tag?authuser=0&hl=en&rclk=1,17.0
TRIZ Automations & Robotics Pvt. Ltd. - Best Automations & Robotics in Pune India,Automation company,"Taluka - Bhor, Banglore Highway",096231 35885,http://www.trizsystems.com/,4.9,(17),"""We highly recommend TRIZ for",· Opens 9 am Tue,https://www.google.com/maps/place/TRIZ+Automations+%26+Robotics+Pvt.+Ltd.+-+Best+Automations+%26+Robotics+in+Pune+India/data=!4m7!3m6!1s0x3bc2ecc6abffffff:0xf2c6badef969b98f!8m2!3d18.3636861!4d73.8522505!16s%2Fg%2F11tk24d0vg!19sChIJ____q8bswjsRj7lp-d66xvI?authuser=0&hl=en&rclk=1,17.0
Excellence Automation and Robotics,Automation company,·,098601 47671,https://parcrobotics.in/,4.8,(17),,· Opens 9 am Tue,https://www.google.com/maps/place/Excellence+Automation+and+Robotics/data=!4m7!3m6!1s0x3bc2eab735fbb2c3:0xeb563234e2c37cd5!8m2!3d18.641892!4d73.8235809!16s%2Fg%2F11b7ftjpk4!19sChIJw7L7NbfqwjsR1XzD4jQyVus?authuser=0&hl=en&rclk=1,17.0
Inerrant Robotomation Pvt. Ltd | Electrical | Portable | Press | Laser | Integrated Marking Machine in Pune,Manufacturer,"16/10A/11, Sinhgad Rd",070309 77331,https://inerrant.co.in/,4.5,(17),"""A reliable company providing quality",,https://www.google.com/maps/place/Inerrant+Robotomation+Pvt.+Ltd+%7C+Electrical+%7C+Portable+%7C+Press+%7C+Laser+%7C+Integrated+Marking+Machine+in+Pune/data=!4m7!3m6!1s0x3bc2958674ac1c01:0x106db45209bb0635!8m2!3d18.4550139!4d73.794121!16s%2Fg%2F11j1h3rb5w!19sChIJARysdIaVwjsRNQa7CVK0bRA?authuser=0&hl=en&rclk=1,17.0
Testo India Private Limited,Manufacturer,·,020 2592 0000,https://www.testo.com/en-IN/,4.1,(16),,· Opens 9 am Tue,https://www.google.com/maps/place/Testo+India+Private+Limited/data=!4m7!3m6!1s0x3bc2bf6056211847:0xd5a475ed8ec2e089!8m2!3d18.5477502!4d73.815986!16s%2Fg%2F1tf5zr59!19sChIJRxghVmC_wjsRieDCju11pNU?authuser=0&hl=en&rclk=1,16.0
ELECTROPOINT AUTOMATION PVT. LTD.,Automation company,"Sr. No. 82, 10, inside Sneha Vihar",098224 28338,http://www.electropoint.in/,4.5,(15),On-site services,· Opens 9:30 am Tue,https://www.google.com/maps/place/ELECTROPOINT+AUTOMATION+PVT.+LTD./data=!4m7!3m6!1s0x3bc2953409a3b7ed:0xbfa02a928a0882d8!8m2!3d18.4650522!4d73.7914327!16s%2Fg%2F1tczcbmg!19sChIJ7bejCTSVwjsR2IIIipIqoL8?authuser=0&hl=en&rclk=1,15.0
Symtronics Automation Pvt. Ltd.,Manufacturer,"S-1, T Block, MIDC Bhosari",020 6611 4556,http://www.symtronicsindia.com/,4.3,(15),,· Opens 9 am Tue,https://www.google.com/maps/place/Symtronics+Automation+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2b86309c527d1:0x9a34215e83accc9a!8m2!3d18.6241126!4d73.8277452!16s%2Fg%2F1tfjtqt_!19sChIJ0SfFCWO4wjsRmsysg14hNJo?authuser=0&hl=en&rclk=1,15.0
Niteo Automation India Pvt Ltd,Manufacturer,"Plot No. 5/2/3, F II Block, behind Wonder Car",077094 00910,http://niteoindia.com/,5.0,(14),"""Top-quality engineering and outstanding customer service!""",,https://www.google.com/maps/place/Niteo+Automation+India+Pvt+Ltd/data=!4m7!3m6!1s0x3bc2b9f34dfa553b:0x3bdc69926cd89f8c!8m2!3d18.6414915!4d73.8251671!16s%2Fg%2F11nxfybccc!19sChIJO1X6TfO5wjsRjJ_YbJJp3Ds?authuser=0&hl=en&rclk=1,14.0
SL Tech Automation,Automation company,"Haveli, Gat No.162B, Tower Line, Tal, near Avishkar Motors",099229 29776,http://www.sltechindia.com/,4.6,(14),,· Opens 8 am Tue,https://www.google.com/maps/place/SL+Tech+Automation/data=!4m7!3m6!1s0x3bc2b769937d3f1d:0x954a8e1e83cc1cdd!8m2!3d18.6757383!4d73.7887493!16s%2Fg%2F11n0kbpw7v!19sChIJHT99k2m3wjsR3RzMgx6OSpU?authuser=0&hl=en&rclk=1,14.0
